"YEAR_NUM","LOCALE_VA","INDICATOR","VALUE"
2013,Alabama,SDOH_Median_Household_Income,43083.43095
2013,Alabama,MM_Drug_poison_deaths_p_100_0,12.45007981
2013,Alabama,SDOH_PMU,7.263095238
2013,Alabama,SDOH_Median_income,47320
2013,Alabama,SDOH_Per_Adults_Bachelors,23.05269085
2013,Alabama,MM_Est_Age_adj_Death_Rate,10.42695438
2013,Alabama,SUM_Est_Age_adj_Deaths_Num,504.0099876
2013,Alabama,SUM_Population,4833722
2013,Alabama,POP_ESTIMATE_,4833996
2013,Alabama,Unemployed_,156998
2013,Alabama,SDOH_Unemployment_Rate,7.2
2013,Alabama,Beneficiaries_with_Part_A_and_Pa,893186
2013,Alabama,FFS_Beneficiaries,669697
2013,Alabama,MA_Beneficiaries,223489
2013,Alabama,HUTIL_MA_Participation_Rate,25.02
2013,Alabama,Average_Age,70
2013,Alabama,Average_HCC_Score,0.97
2013,Alabama,HCOSTS_Total_Actual_Costs,5748787121
2013,Alabama,Total_Standardized_Costs,6298910428
2013,Alabama,HCOSTS_Total_Standard_Risk_Adj,6991450189
2013,Alabama,HCOSTS_Actual_Per_Capita_Costs,8584.16
2013,Alabama,Standardized_Per_Capita_Costs,9405.61
2013,Alabama,HCOSTS_Standard_Risk_Adj_Per_C,10439.72
2013,Alabama,aggravated_assault,13788
2013,Alabama,homicide,346
2013,Alabama,population,4833996
2013,Alabama,property_crime,161835
2013,Alabama,violent_crime,20834
2013,Alabama,Percent_of_Adult_Population_Rece,10.84
2013,Alabama,SDOH_Poverty_Estimate_All_Ages,889091
2013,Alabama,Poverty_Percent_All_Ages,18.9
2013,Alabama,SDOH_violent_crime_rate,0.4309891858
2013,Alabama,Long_Acting_Opioid_Prescribing_R,9.6
2013,Alabama,Opioid_Claims,2256479
2013,Alabama,Opioid_Prescribing_Rate,7.74
2013,Alabama,Overall_Claims,29157450
2013,Alabama,Part_D_Opioid_Prescribers,7418
2013,Alabama,Part_D_Prescribers,12821
2013,Alaska,SDOH_Median_Household_Income,63498
2013,Alaska,MM_Drug_poison_deaths_p_100_0,16.90897436
2013,Alaska,SDOH_PMU,5.652222222
2013,Alaska,SDOH_Median_income,72472
2013,Alaska,SDOH_Per_Adults_Bachelors,27.6847143
2013,Alaska,MM_Est_Age_adj_Death_Rate,12.41494301
2013,Alaska,SUM_Est_Age_adj_Deaths_Num,91.26621885
2013,Alaska,SUM_Population,735132
2013,Alaska,POP_ESTIMATE_,737259
2013,Alaska,Unemployed_,25205
2013,Alaska,SDOH_Unemployment_Rate,6.9
2013,Alaska,Beneficiaries_with_Part_A_and_Pa,69433
2013,Alaska,FFS_Beneficiaries,68756
2013,Alaska,MA_Beneficiaries,677
2013,Alaska,HUTIL_MA_Participation_Rate,0.98
2013,Alaska,Average_Age,70
2013,Alaska,Average_HCC_Score,0.82
2013,Alaska,HCOSTS_Total_Actual_Costs,580227287.9
2013,Alaska,Total_Standardized_Costs,418853874.8
2013,Alaska,HCOSTS_Total_Standard_Risk_Adj,540542052.8
2013,Alaska,HCOSTS_Actual_Per_Capita_Costs,8438.93
2013,Alaska,Standardized_Per_Capita_Costs,6091.89
2013,Alaska,HCOSTS_Standard_Risk_Adj_Per_C,7861.74
2013,Alaska,aggravated_assault,3127
2013,Alaska,homicide,34
2013,Alaska,population,737259
2013,Alaska,property_crime,21211
2013,Alaska,violent_crime,4709
2013,Alaska,Percent_of_Adult_Population_Rece,4.12
2013,Alaska,SDOH_Poverty_Estimate_All_Ages,72643
2013,Alaska,Poverty_Percent_All_Ages,10.1
2013,Alaska,SDOH_violent_crime_rate,0.6387171944
2013,Alaska,Long_Acting_Opioid_Prescribing_R,19.07
2013,Alaska,Opioid_Claims,86170
2013,Alaska,Opioid_Prescribing_Rate,6.73
2013,Alaska,Overall_Claims,1280892
2013,Alaska,Part_D_Opioid_Prescribers,1095
2013,Alaska,Part_D_Prescribers,2275
2013,Arizona,SDOH_Median_Household_Income,49509.07143
2013,Arizona,MM_Drug_poison_deaths_p_100_0,18.31794872
2013,Arizona,SDOH_PMU,6.197619048
2013,Arizona,SDOH_Median_income,52611
2013,Arizona,SDOH_Per_Adults_Bachelors,27.09770592
2013,Arizona,MM_Est_Age_adj_Death_Rate,17.61312392
2013,Arizona,SUM_Est_Age_adj_Deaths_Num,1167.155497
2013,Arizona,SUM_Population,6626624
2013,Arizona,POP_ESTIMATE_,6634997
2013,Arizona,Unemployed_,237229
2013,Arizona,SDOH_Unemployment_Rate,7.8
2013,Arizona,Beneficiaries_with_Part_A_and_Pa,991824
2013,Arizona,FFS_Beneficiaries,577447
2013,Arizona,MA_Beneficiaries,414377
2013,Arizona,HUTIL_MA_Participation_Rate,41.78
2013,Arizona,Average_Age,72
2013,Arizona,Average_HCC_Score,0.91
2013,Arizona,HCOSTS_Total_Actual_Costs,5168575064
2013,Arizona,Total_Standardized_Costs,4849144669
2013,Arizona,HCOSTS_Total_Standard_Risk_Adj,5827317919
2013,Arizona,HCOSTS_Actual_Per_Capita_Costs,8950.73
2013,Arizona,Standardized_Per_Capita_Costs,8397.56
2013,Arizona,HCOSTS_Standard_Risk_Adj_Per_C,10091.52
2013,Arizona,aggravated_assault,17391
2013,Arizona,homicide,355
2013,Arizona,population,6634997
2013,Arizona,property_crime,223294
2013,Arizona,violent_crime,27576
2013,Arizona,Percent_of_Adult_Population_Rece,5.26
2013,Arizona,SDOH_Poverty_Estimate_All_Ages,1206948
2013,Arizona,Poverty_Percent_All_Ages,18.6
2013,Arizona,SDOH_violent_crime_rate,0.4156143552
2013,Arizona,Long_Acting_Opioid_Prescribing_R,15.84
2013,Arizona,Opioid_Claims,1541513
2013,Arizona,Opioid_Prescribing_Rate,6.97
2013,Arizona,Overall_Claims,22124355
2013,Arizona,Part_D_Opioid_Prescribers,10490
2013,Arizona,Part_D_Prescribers,20542
2013,Arkansas,SDOH_Median_Household_Income,42037.42857
2013,Arkansas,MM_Drug_poison_deaths_p_100_0,12.49615385
2013,Arkansas,SDOH_PMU,6.71547619
2013,Arkansas,SDOH_Median_income,39376
2013,Arkansas,SDOH_Per_Adults_Bachelors,20.64608405
2013,Arkansas,MM_Est_Age_adj_Death_Rate,12.86787293
2013,Arkansas,SUM_Est_Age_adj_Deaths_Num,380.8083571
2013,Arkansas,SUM_Population,2959373
2013,Arkansas,POP_ESTIMATE_,2958765
2013,Arkansas,Unemployed_,96148
2013,Arkansas,SDOH_Unemployment_Rate,7.4
2013,Arkansas,Beneficiaries_with_Part_A_and_Pa,555245
2013,Arkansas,FFS_Beneficiaries,441689
2013,Arkansas,MA_Beneficiaries,113556
2013,Arkansas,HUTIL_MA_Participation_Rate,20.45
2013,Arkansas,Average_Age,70
2013,Arkansas,Average_HCC_Score,0.93
2013,Arkansas,HCOSTS_Total_Actual_Costs,3584055108
2013,Arkansas,Total_Standardized_Costs,3823999103
2013,Arkansas,HCOSTS_Total_Standard_Risk_Adj,4297548083
2013,Arkansas,HCOSTS_Actual_Per_Capita_Costs,8114.43
